7.8022 -6.25505 1 90.7217 326.159
8.59139 -5.11743 25 90.7217 326.159
9.44232 -3.2928 32 90.7217 326.159
9.74812 -2.23029 29 90.7217 326.159
9.80641 -1.95815 21 90.7217 326.159
9.99892 0.146988 26 90.7217 326.159
9.98682 0.513246 12 90.7217 326.159
9.61183 2.75912 22 90.7217 326.159
8.96976 4.42079 8 90.7217 326.159
8.96626 4.42789 4 90.7217 326.159
4.77877 8.78427 20 90.7217 326.159
4.5816 8.8887 19 90.7217 326.159
0.73726 9.97279 13 90.7217 326.159
6.68849 7.43398 27 90.7217 326.159
7.13887 7.0026 7 90.7217 326.159
-8.56271 5.16527 23 90.7217 326.159
-8.49109 5.28217 15 90.7217 326.159
-7.58084 6.52157 14 90.7217 326.159
-2.4517 9.6948 9 90.7217 326.159
-1.69203 9.85581 31 90.7217 326.159
-9.81375 1.92101 6 90.7217 326.159
-9.8855 -1.50894 3 90.7217 326.159
-9.78369 -2.06869 11 90.7217 326.159
-7.70652 -6.37256 30 90.7217 326.159
-7.21629 -6.9228 10 90.7217 326.159
-6.40687 -7.67803 24 90.7217 326.159
-0.549947 -9.98487 28 90.7217 326.159
2.55621 -9.66777 18 90.7217 326.159
4.73486 -8.80801 5 90.7217 326.159
6.65473 -7.46422 17 90.7217 326.159
6.69936 -7.42419 2 90.7217 326.159
7.5013 -6.61291 16 90.7217 326.159
7.8022 -6.25505 1 90.7217 326.159
